Name,Mins,Saves,Unnamed: 3
L. SchöneNEC Nijmegen,328,0,
J. de GuzmánSparta Rotterdam,45,0,
I. PerišićPSV Eindhoven,1804,0,
M. KieftenbeldSC Cambuur,26,0,
D. KlaassenAFC Ajax,2182,0,
J. ToornstraSparta Rotterdam,1362,0,
J. ClasieAZ Alkmaar,1841,0,
M. EngelsHeracles Almelo,2174,0,
T. BrunsHeracles Almelo,1166,0,
M. SeuntjensFC Groningen,668,0,
M. DiemersSC Cambuur,120,0,
A. HalilovićFortuna Sittard,1788,0,
R. ThomasPEC Zwolle,853,0,
JSJ. SchuurmanWillem II Tilburg,300,0,
K. PetersonFortuna Sittard,1835,0,
V. van CrooijSparta Rotterdam,2019,0,
A. VerschuerenFC Twente,2083,0,
L. BrouwersSC Heerenveen,2001,0,
P. ClementSparta Rotterdam,1693,0,
C. EitingFC Twente,1472,0,
R. van der VenneRKC Waalwijk,738,0,
J. MonteiroPEC Zwolle,1987,0,
N. DoodemanWillem II Tilburg,1666,0,
G. RoemeratoeRKC Waalwijk,1524,0,
J. SchoutenPSV Eindhoven,1297,0,
G. TilPSV Eindhoven,2023,0,
O. VelanasPEC Zwolle,1355,0,
J. VeermanPSV Eindhoven,1832,0,
V. JensenFC Utrecht,1130,0,
T. OostingPEC Zwolle,784,0,
D. van KaamRKC Waalwijk,1087,0,
L. Olden LarsenNEC Nijmegen,357,0,
O. EdvardsenAFC Ajax,1173,0,
J. ModerFeyenoord,1199,0,
N. SourenSC Cambuur,0,0,
I. HwangFeyenoord,1625,0,
S. MannsverkAFC Ajax,180,0,
Ú. EmbalóFortuna Sittard,11,0,
I. SadiqAZ Alkmaar,1060,0,
T. BoothFC Twente,537,0,
M. SurayGo Ahead Eagles,1468,0,
J. KitolanoSparta Rotterdam,1595,0,
P. KoopmeinersAZ Alkmaar,2973,0,
M. IhattarenFortuna Sittard,1563,0,
J. ŽambůrekHeracles Almelo,934,0,
E. LinthorstGo Ahead Eagles,2522,0,
C. BozdoğanFC Utrecht,406,0,
S. SteijnFeyenoord,2982,0,
N. ÜnüvarHeracles Almelo,391,0,
D. ProperNEC Nijmegen,2161,0,
M. KjøløFC Twente,1048,0,
D. CleoniseRKC Waalwijk,1102,0,
S. MijnansAZ Alkmaar,2412,0,
R. ZerroukiFC Twente,1096,0,
P. VroeghRKC Waalwijk,41,0,
R. MeerveldSC Heerenveen,3293,0,
Y. RegeerAFC Ajax,1466,0,
B. LimbombeHeracles Almelo,365,0,
A. EngwandaFC Utrecht,1277,0,
D. van den BergFC Utrecht,2235,0,
K. Fitz-JimAFC Ajax,1229,0,
S. MitoSparta Rotterdam,1511,0,
T. RölkeSC Cambuur,80,0,
Y. OukiliFortuna Sittard,2223,0,
SLS. LagsirPEC Zwolle,2,0,
Z. IqbalFC Utrecht,1456,0,
J. TrenskowSC Heerenveen,1816,0,
O. Siira SivertsenGo Ahead Eagles,155,0,
J. BreumGo Ahead Eagles,2062,0,
S. LtaiefFC Twente,1195,0,
JBJ. BaasSparta Rotterdam,850,0,
RKR. KuijpersRKC Waalwijk,230,0,
É. MichutFortuna Sittard,1041,0,
D. RotsFC Twente,2299,0,
Z. BuurmeesterPEC Zwolle,1215,0,
I. SaibariPSV Eindhoven,1786,0,
C. TwigtWillem II Tilburg,458,0,
S. ResinkFC Groningen,2370,0,
O. TarghallineFeyenoord,292,0,
DAD. Al-SaedSC Heerenveen,199,0,
Y. CathlineFC Utrecht,1957,0,
L. ValenteFeyenoord,2608,0,
T. de JongeFC Groningen,1279,0,
PBP. BrittijnFortuna Sittard,21,0,
L. SmansSC Heerenveen,2388,0,
D. WeidmannFC Twente,798,0,
R. DaalAZ Alkmaar,69,0,
D. KwakmanAZ Alkmaar,1194,0,
Y. TahaFC Groningen,319,0,
LSL. SauerFeyenoord,2493,0,
K. HlynssonAFC Ajax,1407,0,
T. van de LooRKC Waalwijk,1828,0,
K. SanoNEC Nijmegen,2078,0,
S. SchepermanHeracles Almelo,1639,0,
RER. El ArguiouiFC Utrecht,0,0,
S. 't ZandFeyenoord,1058,0,
R. van BommelPSV Eindhoven,1673,0,
TvT. van GilstHeracles Almelo,83,0,
JSJ. SloryGo Ahead Eagles,262,0,
J. FaberskiPEC Zwolle,0,0,
TKT. KraaijeveldFeyenoord,0,0,
R. WeijenbergGo Ahead Eagles,344,0,
T. SchenkhuizenFortuna Sittard,5,0,
D. MathieuWillem II Tilburg,0,0,
S. OuaissaNEC Nijmegen,1970,0,
RBR. BounidaAFC Ajax,13,0,
K. SmitAZ Alkmaar,1152,0,
A. LachkarWillem II Tilburg,2130,0,
J. SchreudersFC Groningen,1960,0,
G. ZechiëlFeyenoord,1282,0,
G. BesselinkWillem II Tilburg,389,0,
T. LandFC Groningen,41,0,
M. WitteveenRKC Waalwijk,0,0,
ASA. SlitiFeyenoord,90,0,
N. FichtingerPEC Zwolle,851,0,
HKH. KusterRKC Waalwijk,21,0,
IHI. HenstraSC Cambuur,15,0,
J. MokioAFC Ajax,505,0,
KBK. BoogaardAZ Alkmaar,0,0,
M. LindaySC Heerenveen,1357,0,
AOA. OufkirAZ Alkmaar,50,0,
IAI. AhmedSC Heerenveen,8,0,
SSS. SteurAFC Ajax,10,0,
D. van der WerffFC Groningen,22,0,
GRG. ReizigerPEC Zwolle,0,0,
L. TunjićFortuna Sittard,481,0,
HKH. KorkmazyürekFortuna Sittard,4,0,
T. van den ElshoutFeyenoord,0,0,
UvU. van AalstWillem II Tilburg,37,0,
DVD. VisserSC Cambuur,0,0,
ABA. Burak SayinFortuna Sittard,3,0,
