Name,Mins,Saves,Unnamed: 3
DanteNice,1966,0,
I. TraoréMetz,0,0,
S. UmtitiLille,0,0,
N. PalloisStade de Reims,2020,0,
A. BambaAngers,1520,0,
A. MandiLille,1736,0,
D. AppiahSaint-Étienne,2124,0,
M. ColinMetz,17,0,
T. MeunierLille,1951,0,
K. LalaStade Brestois,2685,0,
C. MataOlympique Lyonnais,2370,0,
MarquinhosParis Saint-Germain,1725,0,
N. TagliaficoOlympique Lyonnais,1911,0,
F. HaninAngers,2677,0,
C. JullienMontpellier,0,0,
T. KehrerAS Monaco,2376,0,
B. ChardonnetStade Brestois,2417,0,
L. HernándezParis Saint-Germain,875,0,
A. Maitland-NilesOlympique Lyonnais,2013,0,
H. HateboerOlympique Lyonnais,1680,0,
J. LefortAngers,3060,0,
O. El HajjamBordeaux,0,0,
J. GraditRC Lens,2103,0,
M. NiakhatéOlympique Lyonnais,2725,0,
M. UdolRC Lens,300,0,
C. ArcusAngers,2055,0,
AdryelsonOlympique Lyonnais,10,0,
F. CentonzeNantes,267,0,
M. BernauerSaint-Étienne,717,0,
K. AmianNantes,2169,0,
A. HakimiParis Saint-Germain,2067,0,
J. TezeAS Monaco,586,0,
M. SarrRC Lens,1377,0,
S. AkiemeStade de Reims,2721,0,
T. De SmetStade de Reims,204,0,
C. HenriqueAS Monaco,1924,0,
F. MedinaOlympique de Marseille,2537,0,
M. NadeSaint-Étienne,2215,0,
K. KouaoMetz,278,0,
L. ØstigårdStade Rennais,1228,0,
N. CozzaNantes,2051,0,
I. JakobsAS Monaco,180,0,
T. Sainte LuceMontpellier,971,0,
M. BardNice,1941,0,
M. AbdelmonemNice,855,0,
L. BalerdiOlympique de Marseille,2276,0,
MBM. BusiStade de Reims,0,0,
M. SalisuAS Monaco,1027,0,
A. ViníciusOlympique Lyonnais,1099,0,
W. PachoParis Saint-Germain,2118,0,
A. NdiayeTroyes,1712,0,
J. OkumuStade de Reims,1909,0,
Y. NdayishimiyeNice,1934,0,
L. BrassierStade Rennais,2024,0,
N. MendesParis Saint-Germain,1671,0,
A. RouaultStade Rennais,973,0,
G. DouéRC Strasbourg,2716,0,
A. SeiduStade Rennais,806,0,
I. DoukouréRC Strasbourg,2645,0,
O. CamaraAngers,253,0,
A. RibeiroLille,2700,0,
S. SowRC Strasbourg,1819,0,
R. FernandesLille,0,0,
T. SantosLille,405,0,
VandersonAS Monaco,2069,0,
E. Tchato MbiayiMontpellier,1894,0,
L. BeraldoParis Saint-Germain,1999,0,
A. MendyNice,833,0,
B. LockoStade Brestois,97,0,
J. Le CardinalSaint-Étienne,1379,0,
B. MeïtéLorient,458,0,
VBV. BurletStade de Reims,0,0,
MSM. SarrRC Strasbourg,1239,0,
S. KumbediOlympique Lyonnais,965,0,
A. SyllaNantes,951,0,
J. EkomieAngers,707,0,
Y. MouangaBordeaux,939,0,
K. OuattaraAS Monaco,400,0,
N. ČelikRC Lens,0,0,
Y. ZagueParis Saint-Germain,183,0,
C. MawissaAS Monaco,1521,0,
E. BiumlaAngers,1334,0,
J. JacquetStade Rennais,929,0,
L. RaolisoaAngers,1318,0,
M. BombitoNice,2195,0,
S. SanéMetz,300,0,
NEN. El HannachMontpellier,0,0,
L. ZogbéStade Brestois,644,0,
H. SekineStade de Reims,1016,0,
L. Mincarelli DavinMontpellier,714,0,
KAK. AntonioRC Lens,139,0,
A. KoneStade de Reims,131,0,
NKN. KamaraOlympique Lyonnais,75,0,
TBT. BarišićOlympique Lyonnais,1,0,
W. Ndollo BilleMontpellier,402,0,
SLS. LungRC Strasbourg,0,0,
