Name,Mins,Saves,Unnamed: 3
W. KhazriMontpellier,1078,0,
W. SaïdRC Lens,909,0,
N. MaupayOlympique de Marseille,1051,0,
L. AjorqueStade Brestois,2505,0,
B. EmboloStade Rennais,1836,0,
S. BenrahmaOlympique Lyonnais,737,0,
M. BaldéStade Brestois,1184,0,
I. CardonaSaint-Étienne,983,0,
F. SotocaRC Lens,1795,0,
L. BlasStade Rennais,2302,0,
O. DembéléParis Saint-Germain,1736,0,
A. GouiriOlympique de Marseille,2088,0,
M. MohamedNantes,1245,0,
M. TamariStade Rennais,1686,0,
K. KvaratskheliaParis Saint-Germain,920,0,
I. GanagoNantes,271,0,
M. BayoLille,366,0,
Z. DavitashviliSaint-Étienne,2698,0,
F. BalogunAS Monaco,626,0,
G. RamosParis Saint-Germain,1057,0,
M. GreenwoodOlympique de Marseille,2814,0,
M. DaramyStade de Reims,26,0,
E. LepaulStade Rennais,1629,0,
E. WahiNice,575,0,
B. BarcolaParis Saint-Germain,2180,0,
M. AblineNantes,2782,0,
A. SimaRC Lens,1243,0,
E. EmeghaRC Strasbourg,2302,0,
M. ChoNice,1635,0,
M. BierethAS Monaco,1229,0,
A. Bamba DiengLorient,549,0,
L. StassinSaint-Étienne,1812,0,
A. BoakyeSaint-Étienne,741,0,
D. MoreiraRC Strasbourg,2574,0,
M. FernándezLille,1064,0,
I. HousniParis Saint-Germain,243,0,
LML. MichalAS Monaco,16,0,
M. LukovićRC Strasbourg,20,0,
A. SalamaStade de Reims,368,0,
H. Wendel MeisterStade Rennais,66,0,
AGA. GueguinMontpellier,22,0,
JNJ. NdiayeMontpellier,455,0,
M. FofanaOlympique Lyonnais,1597,0,
E. NuamahOlympique Lyonnais,1065,0,
I. SalahStade Rennais,363,0,
R. Labeau LascaryStade Brestois,635,0,
J. AgbonifoRC Lens,299,0,
I. OraziStade de Reims,2,0,
B. GuirassyNantes,357,0,
YIY. IssoufouMontpellier,82,0,
ABA. BojangStade de Reims,0,0,
NEN. EdjoumaLille,149,0,
RVR. VazOlympique de Marseille,29,0,
R. FofanaRC Lens,24,0,
IMI. MbayeParis Saint-Germain,336,0,
AGA. Gomes RodriguezOlympique Lyonnais,19,0,
N. PaysMontpellier,444,0,
K. AbdallahOlympique de Marseille,9,0,
QNQ. NdjantouParis Saint-Germain,0,0,
EME. MolebeMontpellier,0,0,
SDS. DiopStade Brestois,10,0,
