Name,Mins,Saves,Unnamed: 3
F. CoquelinNantes,232,0,
B. AndréLille,2693,0,
R. CabellaNantes,1032,0,
G. KondogbiaOlympique de Marseille,2021,0,
B. StambouliMetz,227,0,
P. HøjbjergOlympique de Marseille,2666,0,
T. MinaminoAS Monaco,2236,0,
T. SavanierMontpellier,2268,0,
P. CapelleAngers,489,0,
A. ThomassonRC Lens,2621,0,
F. TardieuSaint-Étienne,1190,0,
M. SansonNice,235,0,
G. KamaraStade Rennais,660,0,
A. GolovinAS Monaco,1153,0,
J. GbaminMetz,221,0,
C. TolissoOlympique Lyonnais,2340,0,
B. SantamariaStade Rennais,1421,0,
N. BentalebLille,335,0,
R. AguilarRC Lens,1129,0,
H. BelkeblaAngers,1795,0,
V. RongierStade Rennais,1587,0,
D. ZakariaAS Monaco,2149,0,
F. RuizParis Saint-Germain,1917,0,
O. MangalaOlympique Lyonnais,68,0,
J. ClaussNice,2311,0,
D. MachadoNantes,1793,0,
R. Del CastilloStade Brestois,1266,0,
G. HeinMetz,300,0,
T. NdombéléNice,1140,0,
A. NordinStade Rennais,1163,0,
H. MagnettiStade Brestois,2335,0,
A. GomesOlympique de Marseille,737,0,
K. DiattaAS Monaco,510,0,
VitinhaParis Saint-Germain,2023,0,
J. DeminguetMetz,219,0,
K. NakamuraStade de Reims,2870,0,
M. CamaraStade Rennais,2669,0,
K. LeeParis Saint-Germain,1665,0,
A. AbdiNice,1417,0,
S. DiopNice,1066,0,
H. AbdelliOlympique de Marseille,2848,0,
S. NanasiRC Strasbourg,2122,0,
J. LepenantOlympique Lyonnais,2063,0,
O. SahraouiLille,1292,0,
J. ChotardStade Brestois,1800,0,
H. BoudaouiNice,2438,0,
A. MoueffekSaint-Étienne,1042,0,
M. GbaneStade de Reims,1292,0,
T. TessmannOlympique Lyonnais,1261,0,
J. PatrickStade de Reims,631,0,
Q. MerlinStade Rennais,1602,0,
B. OldSaint-Étienne,523,0,
I. MiladinovićSaint-Étienne,27,0,
T. LouchetNice,780,0,
M. AklioucheAS Monaco,2409,0,
T. Le BrisLorient,24,0,
I. KonéOlympique de Marseille,829,0,
A. CamblanStade Brestois,31,0,
H. Arnar HaraldssonLille,1765,0,
W. Zaïre-EmeryParis Saint-Germain,2040,0,
D. DouéParis Saint-Germain,1724,0,
K. DoumbiaStade Brestois,1328,0,
M. AdelineTroyes,25,0,
L. MoutonAngers,1042,0,
J. NevesParis Saint-Germain,1845,0,
Y. BelkhdimAngers,1515,0,
J. MwangaRC Strasbourg,1252,0,
K. FayadMontpellier,1018,0,
L. CamaraAS Monaco,2056,0,
N. MukauLille,1218,0,
E. MbappéLille,236,0,
M. DiawaraOlympique Lyonnais,609,0,
DTD. TabibouNantes,54,0,
MCM. CoulibalyAS Monaco,0,0,
D. CisséStade Rennais,1074,0,
S. MayuluParis Saint-Germain,811,0,
A. SishubaMontpellier,2,0,
A. BouaddiLille,1154,0,
H. MakalouStade Brestois,40,0,
SES. El MourabetRC Strasbourg,0,0,
TCT. ChennahiMontpellier,184,0,
G. YassineRC Strasbourg,82,0,
ABA. BambaAS Monaco,0,0,
AOA. OuattaraRC Strasbourg,161,0,
