Name,Mins,Saves,Unnamed: 3
J. NavasSevilla,440,0,
C. AzpilicuetaSevilla,877,0,
Ó. de MarcosAthletic Club,1574,0,
K. FemeníaGetafe,2229,0,
D. AlabaReal Madrid,316,0,
R. RodríguezReal Betis,1280,0,
M. AlonsoCelta Vigo,2655,0,
L. CabreraEspanyol,2870,0,
Y. BerchicheAthletic Club,2048,0,
F. LejeuneRayo Vallecano,3326,0,
M. BartraReal Betis,2101,0,
D. CarvajalReal Madrid,609,0,
A. RüdigerReal Madrid,2298,0,
D. FoulquierValencia,2298,0,
I. BalliuRayo Vallecano,1225,0,
A. ChristensenBarcelona,252,0,
H. BellerínReal Betis,578,0,
J. ManquilloCelta Vigo,517,0,
J. Luis GayàValencia,1810,0,
M. ValjentMallorca,2765,0,
D. LlorenteReal Betis,2522,0,
DjenéGetafe,2553,0,
J. María GiménezAtlético Madrid,1994,0,
J. MojicaMallorca,2753,0,
D. RicoGetafe,2825,0,
M. LlorenteAtlético Madrid,2513,0,
Á. OdriozolaReal Sociedad,41,0,
C. StarfeltCelta Vigo,2271,0,
M. RistićCelta Vigo,446,0,
A. EspinoRayo Vallecano,841,0,
D. DuarteGetafe,1869,0,
C. LengletBarcelona,1976,0,
A. ElustondoReal Sociedad,1463,0,
R. Le NormandAtlético Madrid,2153,0,
P. MaffeoMallorca,2373,0,
F. MendyReal Madrid,1007,0,
J. AidooCelta Vigo,590,0,
A. PedrazaVillarreal,454,0,
M. DiakhabyValencia,659,0,
Í. LekueAthletic Club,768,0,
A. RaílloMallorca,3209,0,
Y. ÁlvarezAthletic Club,1788,0,
E. CömertValencia,1789,0,
É. MilitãoReal Madrid,940,0,
J. GalánOsasuna,1790,0,
J. KoundéBarcelona,2606,0,
T. LatoMallorca,650,0,
N. MolinaAtlético Madrid,1581,0,
I. ZubeldiaReal Sociedad,2273,0,
MarcãoSevilla,565,0,
S. Van Der HeydenMallorca,101,0,
V. RosierOsasuna,2592,0,
A. MuminRayo Vallecano,2020,0,
F. GarcíaReal Madrid,2189,0,
T. CorreiaValencia,771,0,
F. CaleroEspanyol,738,0,
A. GorosabelAthletic Club,1489,0,
J. FoythVillarreal,1526,0,
E. GarcíaBarcelona,1575,0,
M. MoreyMallorca,763,0,
F. GarcésDeportivo Alavés,676,0,
A. RuibalReal Betis,1312,0,
M. KumbullaMallorca,2975,0,
N. TenagliaDeportivo Alavés,2923,0,
J. CruzOsasuna,1514,0,
A. CatenaOsasuna,3076,0,
J. AresoAthletic Club,3088,0,
D. VivianAthletic Club,2613,0,
L. CostaVillarreal,2585,0,
J. CopeteValencia,1537,0,
R. AraújoBarcelona,766,0,
A. PedrosaElche,2303,0,
J. PachecoDeportivo Alavés,851,0,
J. HerrandoOsasuna,1389,0,
J. IglesiasGetafe,2889,0,
A. ParedesAthletic Club,1814,0,
A. RațiuRayo Vallecano,3067,0,
A. MuñozReal Sociedad,1104,0,
M. SánchezLevante UD,2646,0,
S. CardonaVillarreal,2955,0,
C. TárregaValencia,3027,0,
J. VázquezValencia,927,0,
A. BaldeBarcelona,2292,0,
T. NianzouSevilla,519,0,
A. BretonesOsasuna,2075,0,
J. ChavarríaRayo Vallecano,2589,0,
J. Ángel CarmonaSevilla,2954,0,
O. El HilaliEspanyol,3159,0,
F. BoyomoOsasuna,3258,0,
C. DomínguezCelta Vigo,1187,0,
G. MartínBarcelona,1045,0,
K. SalasSevilla,2245,0,
A. AbqarGetafe,2467,0,
J. AramburuReal Sociedad,2471,0,
S. ArribasCádiz,90,0,
RKR. KohonReal Betis,0,0,
W. KambwalaVillarreal,1114,0,
P. FernándezCádiz,104,0,
D. HormigoGranada,38,0,
Y. LagoCelta Vigo,583,0,
A. OrtizReal Betis,353,0,
R. AsencioReal Madrid,1673,0,
U. EguíluzAthletic Club,0,0,
C. RomeroEspanyol,2560,0,
A. BoiroAthletic Club,1104,0,
H. FortElche,596,0,
P. CubarsíBarcelona,2620,0,
ACA. CastrinSevilla,0,0,
NMN. MendyRayo Vallecano,107,0,
J. MartinReal Sociedad,900,0,
A. OlmedoBarcelona,0,0,
S. MouriñoVillarreal,1847,0,
D. LópezMallorca,170,0,
J. RodríguezCelta Vigo,2513,0,
M. RivasReal Madrid,0,0,
I. BekhouchaGetafe,77,0,
A. IzagirreAthletic Club,0,0,
R. HinojoEspanyol,8,0,
