Name,Mins,Saves,Unnamed: 3
I. AspasCelta Vigo,1747,0,
A. BudimirOsasuna,2966,0,
R. LewandowskiBarcelona,2681,0,
K. GarcíaEspanyol,2560,0,
A. GriezmannAtlético Madrid,2482,0,
JuanmiGetafe,961,0,
C. BakambuReal Betis,710,0,
A. PratsMallorca,465,0,
G. MorenoVillarreal,717,0,
A. SørlothAtlético Madrid,1560,0,
V. MuriqiMallorca,2067,0,
A. PérezVillarreal,1977,0,
S. BeckerOsasuna,994,0,
K. IheanachoSevilla,401,0,
K. BarjaOsasuna,348,0,
N. PépéVillarreal,1495,0,
B. MayoralGetafe,1105,0,
G. GuruzetaAthletic Club,1847,0,
U. SadiqValencia,1049,0,
B. IglesiasReal Betis,1979,0,
C. ÁvilaReal Betis,687,0,
C. LarinMallorca,1781,0,
M. OyarzabalReal Sociedad,2262,0,
J. Manuel ArnáizGranada,171,0,
R. MirElche,743,0,
K. MbappéReal Madrid,2915,0,
A. DanjumaValencia,1548,0,
T. MartínezDeportivo Alavés,1013,0,
F. TorresBarcelona,1109,0,
V. JúniorReal Madrid,2257,0,
D. RabaValencia,1896,0,
C. HernándezReal Betis,1149,0,
H. DuroValencia,2172,0,
S. CamelloRayo Vallecano,1138,0,
RodrygoReal Madrid,1937,0,
R. NtekaRayo Vallecano,1152,0,
J. AlvarezAtlético Madrid,2518,0,
A. AdamsSevilla,135,0,
A. BarrenetxeaReal Sociedad,1258,0,
R. García de HaroOsasuna,765,0,
I. RomeroSevilla,2167,0,
O. Steinn ÓskarssonReal Sociedad,948,0,
J. MartónAthletic Club,50,0,
B. ZaragozaCelta Vigo,1856,0,
I. BenitoOsasuna,35,0,
EEE. Eto'o PinedaRayo Vallecano,44,0,
C. MartínRayo Vallecano,1336,0,
V. MuñozOsasuna,42,0,
DCD. CamaraCádiz,0,0,
Á. RodriguezElche,852,0,
Á. DjalóAthletic Club,657,0,
R. FernándezEspanyol,1507,0,
E. EyongLevante UD,46,0,
P. DuránCelta Vigo,1411,0,
G. GarcíaReal Madrid,53,0,
J. PanichelliDeportivo Alavés,0,0,
A. GonzálezSevilla,1372,0,
M. SannadiAthletic Club,751,0,
C. LumbrerasOsasuna,0,0,
P. Cabanes De La TorreVillarreal,366,0,
PGP. GarcíaReal Betis,36,0,
P. GarciaReal Betis,24,0,
A. Garcia-PascualCádiz,409,0,
