Name,Mins,Saves,Unnamed: 3
Ó. TrejoRayo Vallecano,525,0,
D. ParejoVillarreal,2277,0,
N. GudeljSevilla,2495,0,
O. RomeuBarcelona,1375,0,
KokeAtlético Madrid,1927,0,
I. Ruiz de GalarretaAthletic Club,1492,0,
SusoCádiz,599,0,
IscoReal Betis,1551,0,
S. DarderMallorca,2769,0,
D. SuárezDeportivo Alavés,619,0,
M. GómezOsasuna,818,0,
P. MillaEspanyol,459,0,
L. TorróOsasuna,2963,0,
O. MascarellMallorca,2008,0,
R. GarcíaOsasuna,2438,0,
T. AsanoMallorca,1067,0,
G. GumbauGranada,851,0,
A. JanuzajSevilla,608,0,
Á. GarcíaRayo Vallecano,2566,0,
J. MuñozGetafe,2590,0,
M. VesgaAthletic Club,995,0,
M. ArambarriGetafe,2664,0,
D. CeballosReal Madrid,1225,0,
F. CerviCelta Vigo,278,0,
U. LópezRayo Vallecano,1725,0,
J. JordánSevilla,1415,0,
Á. BerenguerAthletic Club,2352,0,
I. WilliamsAthletic Club,2653,0,
J. GuridiDeportivo Alavés,2097,0,
D. OlmoBarcelona,1222,0,
C. AleñáDeportivo Alavés,1551,0,
F. de JongBarcelona,1150,0,
G. Lo CelsoReal Betis,1455,0,
D. SowSevilla,2068,0,
L. MillaGetafe,2878,0,
P. FornalsReal Betis,1836,0,
M. MorlanesMallorca,1340,0,
P. LozanoEspanyol,1958,0,
PepeluValencia,1742,0,
RaphinhaBarcelona,2844,0,
F. ValverdeReal Madrid,3032,0,
B. DíazReal Madrid,1405,0,
Y. HerreraReal Sociedad,2265,0,
S. ComesañaVillarreal,2581,0,
B. MéndezReal Sociedad,1547,0,
A. AlmeidaValencia,1998,0,
L. De La TorreCelta Vigo,11,0,
M. RocaReal Betis,909,0,
A. BlancoDeportivo Alavés,2738,0,
S. GómezReal Sociedad,2743,0,
A. TchouaméniReal Madrid,2692,0,
Ó. MinguezaCelta Vigo,2741,0,
R. VargasSevilla,677,0,
C. BenavídezDeportivo Alavés,515,0,
C. EjukeSevilla,969,0,
E. ExpósitoEspanyol,1052,0,
P. GueyeVillarreal,2232,0,
T. KuboReal Sociedad,2382,0,
J. PuadoEspanyol,2987,0,
A. GuevaraDeportivo Alavés,1953,0,
I. PalazónRayo Vallecano,2190,0,
J. de FrutosRayo Vallecano,2511,0,
Ó. ValentínRayo Vallecano,1845,0,
L. RiojaValencia,2866,0,
P. DíazRayo Vallecano,1220,0,
A. BaenaAtlético Madrid,2602,0,
P. Ismaël CissRayo Vallecano,2158,0,
Á. AguadoEspanyol,463,0,
R. NavarroAthletic Club,1286,0,
L. SučićReal Sociedad,1811,0,
A. SánchezMallorca,1401,0,
AntonyReal Betis,1365,0,
L. AgouméSevilla,2130,0,
G. ValeraValencia,142,0,
F. PérezRayo Vallecano,604,0,
O. SancetAthletic Club,1626,0,
Á. SolaGranada,1035,0,
T. BuchananVillarreal,423,0,
E. CamavingaReal Madrid,1096,0,
J. MoncayolaOsasuna,2112,0,
R. MoroOsasuna,2346,0,
B. TurrientesReal Sociedad,939,0,
A. OrozOsasuna,2981,0,
S. CostaMallorca,2654,0,
R. RiquelmeReal Betis,522,0,
JohnnyAtlético Madrid,2143,0,
J. BellinghamReal Madrid,2494,0,
I. LosadaReal Betis,718,0,
PedriBarcelona,2892,0,
P. AlemañGranada,0,0,
P. FernándezSevilla,1164,0,
D. LópezValencia,2760,0,
M. CasadóBarcelona,1623,0,
S. CarreiraCelta Vigo,1657,0,
J. Ander OlasagastiLevante UD,852,0,
J. SánchezSevilla,1731,0,
A. EzzalzouliReal Betis,1995,0,
B. PradosAthletic Club,1725,0,
A. MoleiroVillarreal,2727,0,
J. CarrerasEspanyol,2191,0,
N. SerranoAthletic Club,116,0,
U. GonzálezEspanyol,1425,0,
A. ZakharyanReal Sociedad,71,0,
A. RebbachDeportivo Alavés,383,0,
P. TorreMallorca,315,0,
P. IbáñezDeportivo Alavés,1307,0,
N. WilliamsAthletic Club,1998,0,
R. TerratsEspanyol,1374,0,
I. AkhomachRayo Vallecano,587,0,
A. GülerReal Madrid,1273,0,
A. RocaEspanyol,1042,0,
G. SimeoneAtlético Madrid,1950,0,
GaviBarcelona,1104,0,
I. MuñozOsasuna,618,0,
H. SoteloCelta Vigo,1269,0,
J. GuerraValencia,2593,0,
W. SwedbergCelta Vigo,1347,0,
S. AltimiraReal Betis,1977,0,
P. MarínReal Sociedad,1261,0,
M. BuenoSevilla,144,0,
P. BarriosAtlético Madrid,2336,0,
DJD. JiménezReal Madrid,0,0,
J. GarciaOsasuna,0,0,
F. LópezBarcelona,1255,0,
M. MartínGetafe,1761,0,
H. ÁlvarezCelta Vigo,1570,0,
J. LlabrésMallorca,58,0,
J. El-AbdellaouiCelta Vigo,0,0,
U. GómezAthletic Club,1277,0,
MRM. RománCelta Vigo,0,0,
A. OsambelaOsasuna,0,0,
L. YamalBarcelona,2861,0,
Y. EnríquezDeportivo Alavés,0,0,
P. CanalesAthletic Club,259,0,
M. JauregizarAthletic Club,2243,0,
E. BujánAthletic Club,10,0,
M. BernalBarcelona,243,0,
OOsoSevilla,0,0,
JSJ. SalasMallorca,44,0,
M. DomenechMallorca,305,0,
LNL. NúñezValencia,0,0,
