Name,Mins,Saves,Unnamed: 3
Á. RodríguezCF Fuenlabrada,992,0,
A. OrtuñoFC Cartagena,1133,0,
S. EnrichReal Zaragoza,2177,0,
Ó. PlanoLeganés,1363,0,
M. MesaCD Tenerife,1395,0,
J. BautistaEibar,2612,0,
C. FernándezMirandés,1615,0,
J. OteroSporting Gijón,2407,0,
J. CaicedoSporting Gijón,734,0,
E. GallegoCD Tenerife,1836,0,
D. GómezReal Zaragoza,676,0,
P. SokoAlmería,2703,0,
CBC. BorregoFC Cartagena,1040,0,
J. MuñozMálaga,1678,0,
PejiñoLas Palmas,422,0,
EJE. JauregiMálaga,1864,0,
M. SoberónReal Zaragoza,1497,0,
J. de MiguelCD Tenerife,1812,0,
I. UnzuetaCD Lugo,842,0,
F. ViñasReal Oviedo,777,0,
P. de la FuenteReal Zaragoza,667,0,
J. LobeteMálaga,2293,0,
Á. MillánLeganés,1121,0,
F. NiñoBurgos Club de Fútbol,2348,0,
H. AbaidaMálaga,21,0,
RBR. BlancoAD Alcorcón,636,0,
J. MartónEibar,623,0,
Á. ForésReal Oviedo,409,0,
A. MartínFC Cartagena,618,0,
D. QueipoSporting Gijón,1188,0,
M. CuencaReal Zaragoza,31,0,
GNG. NsukulaUD Ibiza,8,0,
IYI. YurrietaUD Ibiza,10,0,
J. RocaGirona FC,1775,0,
A. ManjamCD Tenerife,77,0,
A. ChamorroMálaga,0,0,
ALA. LozanoSporting Gijón,0,0,
A. HouaryMirandés,12,0,
KSK. SánchezFC Cartagena,143,0,
BVB. VázquezSD Ponferradina,16,0,
ERE. RedondoEibar,0,0,
EME. MateosEibar,0,0,
A. CoundoulSporting Gijón,0,0,
CChupeteMálaga,991,0,
FSF. SabinaCD Tenerife,30,0,
W. ChatiliezFC Cartagena,94,0,
