Name,Mins,Saves,Unnamed: 3
S. CazorlaReal Oviedo,2112,0,
L. JúniorCD Lugo,492,0,
A. SanzCD Tenerife,1301,0,
F. PortilloHuesca,1055,0,
S. ÁlvarezEibar,2793,0,
D. MustoFC Cartagena,1899,0,
RRecioMálaga,0,0,
L. BaptistãoAlmería,2534,0,
I. AlejoReal Valladolid,846,0,
Á. CorrederaSporting Gijón,105,0,
S. MoyanoReal Zaragoza,1343,0,
F. San EmeterioSD Ponferradina,1188,0,
LuismiMálaga,2356,0,
R. GutiReal Zaragoza,1389,0,
J. Pérez MateoCD Tenerife,1331,0,
I. CordobaBurgos Club de Fútbol,1635,0,
B. SánchezCD Lugo,1030,0,
ADA. DiawaraLeganés,974,0,
G. MeleroLeganés,2197,0,
L. OlaetxeaEibar,3076,0,
J. CorpasEibar,2884,0,
T. VillaEibar,498,0,
S. ColombattoReal Oviedo,3513,0,
ICI. ChapelaCD Tenerife,1543,0,
CurroBurgos Club de Fútbol,2858,0,
JuanpeMálaga,610,0,
D. OjedaHuesca,1558,0,
T. MoyaReal Zaragoza,1911,0,
K. BareReal Zaragoza,1659,0,
K. AppinBurgos Club de Fútbol,514,0,
JDJ. DorrioMálaga,2939,0,
A. ReinaReal Oviedo,3639,0,
C. GelabertSporting Gijón,2406,0,
J. BernalSporting Gijón,621,0,
K. SiboReal Oviedo,2554,0,
I. MoranteBurgos Club de Fútbol,2055,0,
RGR. GonzálezReal Zaragoza,694,0,
A. PuigmalAlmería,1616,0,
P. NolaskoainEibar,2398,0,
O. SielvaHuesca,2862,0,
M. AtienzaBurgos Club de Fútbol,3144,0,
J. MartínezEibar,624,0,
I. BabaAlmería,622,0,
H. HassanReal Oviedo,2438,0,
CMC. MontesCD Tenerife,275,0,
R. MarchánAD Alcorcón,712,0,
J. MorcilloAlmería,2578,0,
J. MierHuesca,753,0,
Á. CanteroHuesca,938,0,
D. LopyAlmería,3091,0,
N. MelamedAlmería,2390,0,
R. EnríquezMálaga,451,0,
S. ArribasAlmería,2772,0,
C. DotorMálaga,660,0,
F. SerranoReal Zaragoza,2599,0,
D. LarrubiaMálaga,2808,0,
I. ChairaReal Oviedo,2432,0,
V. MeseguerReal Valladolid,836,0,
J. MartínHuesca,1153,0,
I. GilLas Palmas,479,0,
D. LunaHuesca,962,0,
G. CamposSporting Gijón,1474,0,
Á. CarderoMirandés,591,0,
J. GuruzetaEibar,1413,0,
M. LachuerReal Valladolid,2935,0,
D. GonzálezBurgos Club de Fútbol,1078,0,
GuiAlmería,333,0,
N. GarcíaLeganés,714,0,
J. MagunazelaiaEibar,580,0,
I. MartínSporting Gijón,1982,0,
RRR. RodriguezMálaga,73,0,
D. LorenzoMálaga,488,0,
EAE. AlcanizFC Cartagena,0,0,
S. ClúaMirandés,519,0,
A. MadariagaEibar,1405,0,
M. CanteroBurgos Club de Fútbol,320,0,
A. OchoaMálaga,1024,0,
A. MartínMirandés,1642,0,
DFD. FernándezCD Tenerife,316,0,
NTN. TounkaraAD Alcorcón,16,0,
DTD. Tejón NavesReal Oviedo,0,0,
LRL. RubioFC Cartagena,0,0,
ROR. OjedaHuesca,16,0,
MDM. DelgadoEibar,0,0,
