Name,Mins,Saves,Unnamed: 3
P. MotaLeixões SC,216,0,
KakaAcadémica Coimbra,0,0,
R. AlvesChaves,450,0,
H. BastoCD Trofense,257,0,
R. RossiCD Mafra,450,0,
SimãozinhoLeixões SC,360,0,
CarraçaChaves,450,0,
TalochaVarzim SC,442,0,
J. MiguelPenafiel,270,0,
B. SilvaFeirense,402,0,
B. PereiraPenafiel,84,0,
J. OliveiraFeirense,66,0,
DGD. GomesCD Trofense,0,0,
ZRZ. RicardoFeirense,121,0,
A. CorreiaAcadémico Viseu FC,450,0,
ChicaoLeixões SC,103,0,
N. MichelisAcadémico Viseu FC,360,0,
B. RodriguesChaves,450,0,
T. AlmeidaChaves,0,0,
T. DomingosAcadémico Viseu FC,420,0,
P. RosasCasa Pia,379,0,
R. PereiraAcadémico Viseu FC,90,0,
A. RomeroChaves,449,0,
J. WynderBenfica B U21,299,0,
D. SpencerBenfica B U21,165,0,
I. MilioransaAcadémico Viseu FC,214,0,
EFE. FernandesFeirense,316,0,
GBG. BrásFC Porto B,0,0,
G. NegraoPenafiel,14,0,
A. RibeiroFC Porto B,341,0,
L. GomesFC Porto B,110,0,
J. FonsecaBenfica B U21,0,0,
D. RodriguesFC Porto B,237,0,
LML. MartinsBenfica B U21,1,0,
J. LombotoRio Ave,283,0,
T. ParenteBenfica B U21,0,0,
MCM. CunhaFC Porto B,75,0,
B. JuniorCD Mafra,335,0,
K. HenriqueFC Porto B,286,0,
F. SousaFC Porto B,0,0,
A. SilvaSC Farense,205,0,
