Name,Mins,Saves,Unnamed: 3
F. VazCD Trofense,59,0,
Z. ManuelVarzim SC,292,0,
R. ValenteLeixões SC,249,0,
XavierAcadémica Coimbra,108,0,
A. KamaraCD Mafra,6,0,
R. AlvesPenafiel,344,0,
A. CarterSC Farense,334,0,
RobertoChaves,337,0,
W. CarvalhoChaves,89,0,
A. RodriguesChaves,161,0,
A. ClóvisAcadémico Viseu FC,197,0,
N. MortimerAcadémico Viseu FC,57,0,
A. SchuttePenafiel,1,0,
ReinaldoChaves,20,0,
X. SkukaPenafiel,0,0,
A. LiberalSC Covilhã,8,0,
PaulitéLeixões SC,93,0,
T. MonteiroRio Ave,450,0,
LGL. GabrielAcadémico Viseu FC,61,0,
WertonLeixões SC,135,0,
RMR. MatosCD Mafra,9,0,
LVL. VonićFC Porto B,213,0,
RRR. RegoBenfica B U21,5,0,
T. AndradeFC Porto B,193,0,
DSD. SilvaVarzim SC,86,0,
JMJ. MarquesCD Mafra,23,0,
TMT. MelnichenkoFC Porto B,267,0,
J. SilvaSC Covilhã,15,0,
A. RehmiRio Ave,22,0,
A. CandéFC Porto B,163,0,
CSC. SantanaCF Estrela Amadora,45,0,
JLJ. LealPenafiel,0,0,
JLJ. Layn Saint-LouisFeirense,10,0,
B. CaicedoFC Porto B,9,0,
