Name,Mins,Saves,Unnamed: 3
M. PauloAcadémica Coimbra,493,0,
A. CastroFC Porto B,23,0,
D. CandeiasAcadémica Coimbra,172,0,
A. SantosVarzim SC,247,0,
A. AndréLeixões SC,279,0,
J. AmorimLeixões SC,0,0,
R. PintoCD Mafra,132,0,
P. TibaChaves,0,0,
A. SimõesLeixões SC,154,0,
LSL. SilvaAcadémico Viseu FC,32,0,
VGV. GonçalvesCD Mafra,143,0,
RekoPenafiel,124,0,
Y. SemedoSC Farense,438,0,
H. EvrardLeixões SC,184,0,
C. KahramanAcadémico Viseu FC,166,0,
PaulinhoLeixões SC,64,0,
A. CeitilAcadémico Viseu FC,272,0,
KtatauChaves,57,0,
H. JocuFeirense,29,0,
RRobinhoAcadémico Viseu FC,90,0,
D. AndradeFC Porto B,270,0,
S. MesseguemAcadémico Viseu FC,241,0,
A. MarcusCF Estrela Amadora,368,0,
P. PinhoChaves,388,0,
S. KonéAcadémico Viseu FC,87,0,
N. FélixBenfica B U21,158,0,
DPD. PriosteBenfica B U21,30,0,
MarquinhoAcadémico Viseu FC,270,0,
T. RibeiroFeirense,79,0,
TdT. de Sousa MoreiraBenfica B U21,5,0,
CascavelAcadémica Coimbra,24,0,
F. FrançaVarzim SC,118,0,
J. TeixeiraFC Porto B,331,0,
G. SousaFC Porto B,129,0,
K. NagataFC Porto B,220,0,
AAndreyCD Mafra,0,0,
R. PinaLeixões SC,351,0,
A. SilvaPenafiel,99,0,
S. IheanachoCD Mafra,336,0,
B. SouzaAcadémica Coimbra,5,0,
Y. MaigaCD Mafra,155,0,
SPS. PopoolaFeirense,0,0,
