Name,Mins,Saves,Unnamed: 3
I. MarcanoFC Porto,943,0,
N. OtamendiBenfica,2709,0,
P. OliveiraSporting Braga,1713,0,
A. SantosAVS - Futebol SAD,678,0,
L. RochaVizela,2490,0,
F. FerreiraBoavista,2141,0,
R. SoaresFamalicão,1918,0,
F. VenâncioSanta Clara,1654,0,
K. AfonsoAVS - Futebol SAD,320,0,
J. ReisPortimonense,66,0,
FerroEstoril Praia,1412,0,
CPC. PonckAVS - Futebol SAD,491,0,
D. MorerFamalicão,8,0,
J. RhynerVizela,90,0,
J. BuatuGil Vicente,1733,0,
P. AmaralEstoril Praia,2303,0,
R. AbascalVitória SC,2510,0,
A. BahBenfica,1325,0,
T. EsgaioFC Arouca,2014,0,
S. NiakatéSporting Braga,1873,0,
J. De HaasFamalicão,2386,0,
V. GómezSporting Braga,1917,0,
R. MangasSporting,250,0,
WeversonGil Vicente,1796,0,
MaracásMoreirense,2306,0,
F. BacherEstoril Praia,1879,0,
J. FontánFC Arouca,2412,0,
T. AraújoBenfica,2230,0,
F. MouraFC Porto,2488,0,
Z. SanusiFC Porto,62,0,
J. GonçalvesVizela,87,0,
E. QuaresmaSporting,1402,0,
R. PinheiroFamalicão,1909,0,
S. DahlBenfica,605,0,
B. Arrey-MbiSporting Braga,1044,0,
G. InácioSporting,2253,0,
Z. CarlosGil Vicente,2530,0,
J. MutomboGil Vicente,763,0,
A. SilvaBenfica,1946,0,
K. BomaEstoril Praia,2280,0,
MNM. NóbregaVitória SC,90,0,
C. CastroAVS - Futebol SAD,1575,0,
M. RochaFC Arouca,300,0,
G. CostaEstoril Praia,414,0,
H. SantosGil Vicente,263,0,
P. BondoFamalicão,190,0,
M. AraújoSanta Clara,2663,0,
P. VictorSanta Clara,1541,0,
M. ElimbiGil Vicente,433,0,
MichelMoreirense,100,0,
Z. DebastSporting,2036,0,
LipeGil Vicente,0,0,
F. SouzaMoreirense,702,0,
M. MagaVitória SC,1403,0,
S. LimaSanta Clara,2199,0,
J. MendesVitória SC,2684,0,
D. TravassosMoreirense,1716,0,
M. FernandesFC Porto,1237,0,
G. BatistaMoreirense,315,0,
A. CostaFC Porto,673,0,
D. PintoMoreirense,2083,0,
HabraãoSanta Clara,1,0,
I. FresnedaSporting,956,0,
Ó. RivasVitória SC,797,0,
ICI. CabelinhoSanta Clara,0,0,
O. DiomandeSporting,2436,0,
MAM. AugustoMoreirense,149,0,
HSH. SilvaSanta Clara,0,0,
TAT. Araujo BritoEstoril Praia,45,0,
L. SantosMoreirense,266,0,
P. CarvalhoEstoril Praia,722,0,
J. SilvaFC Arouca,12,0,
J. NoroSporting Braga,12,0,
EHE. HenriquePortimonense,61,0,
I. BaFamalicão,102,0,
JSJ. SampaioVizela,0,0,
A. MarquesBoavista,98,0,
T. SilvaBoavista,87,0,
RSR. SilvaVitória SC,0,0,
