Name,Mins,Saves,Unnamed: 3
N. OliveiraVitória SC,1760,0,
NenêAVS - Futebol SAD,402,0,
TTomanéAVS - Futebol SAD,1597,0,
J. CarvalhoEstoril Praia,2129,0,
V. PavlidisBenfica,2246,0,
R. GuitaneEstoril Praia,774,0,
F. TrincãoSporting,2875,0,
A. SafiraSanta Clara,850,0,
PepêFC Porto,1913,0,
P. GonçalvesSporting,882,0,
F. NavarroSporting Braga,772,0,
A. MarquésEstoril Praia,1561,0,
Y. BegraouiEstoril Praia,1854,0,
W. SilvaSanta Clara,231,0,
Ó. ArandaFamalicão,2462,0,
N. NtollaVizela,156,0,
A. ButzkeMarítimo,394,0,
H. AraújoBenfica,1068,0,
M. PucheFC Arouca,527,0,
V. LopesSanta Clara,2108,0,
A. El OuazzaniSporting Braga,1508,0,
G. SilvaSanta Clara,2613,0,
S. ElisorFamalicão,595,0,
TFT. FerreiraPortimonense,60,0,
A. SchjelderupBenfica,517,0,
P. FelipeFamalicão,809,0,
A. LacximicantEstoril Praia,1000,0,
B. AkinsolaAVS - Futebol SAD,854,0,
Y. MaranhãoMoreirense,265,0,
D. LlorenteBoavista,0,0,
C. EduardoGil Vicente,151,0,
D. GülFC Porto,462,0,
T. TouréGil Vicente,969,0,
T. MachadoBoavista,149,0,
S. AghehowaFC Porto,2173,0,
J. CostaSanta Clara,738,0,
D. LoppyVizela,177,0,
W. GomesFC Porto,161,0,
AGA. Guilherme de MoraesSanta Clara,0,0,
S. VidigalSporting Braga,0,0,
R. RamosVizela,112,0,
F. SambúBoavista,0,0,
MMaranhãoMoreirense,0,0,
V. MaiaSanta Clara,0,0,
