Name,Mins,Saves,Unnamed: 3
J. MoutinhoSporting Braga,1587,0,
P. MoreiraFC Arouca,0,0,
J. MárioBenfica,155,0,
BrumaBenfica,1629,0,
RLR. LopesTondela,1134,0,
F. AursnesBenfica,2267,0,
R. HortaSporting Braga,2755,0,
PHP. HenriqueMarítimo,0,0,
RochinhaFamalicão,832,0,
N. SantosSporting,263,0,
G. DiasFamalicão,1315,0,
SamuVitória SC,1679,0,
M. EdwardsSporting,118,0,
S. SitholeTondela,24,0,
T. Van De LooiFamalicão,1647,0,
H. MörschelVizela,180,0,
P. FerreiraSanta Clara,1721,0,
XekaEstoril Praia,856,0,
M. HjulmandSporting,2131,0,
D. BragançaSporting,1016,0,
J. OrellanaEstoril Praia,923,0,
V. CarvalhoSporting Braga,1442,0,
D. CalilaSanta Clara,1662,0,
AlanMoreirense,2440,0,
A. BusnićVizela,24,0,
L. BarreiroBenfica,1153,0,
C. TeguiaMoreirense,913,0,
J. HolsgroveEstoril Praia,2193,0,
H. MoritaSporting,1274,0,
A. FreitasMarítimo,0,0,
M. AraújoSporting,1743,0,
A. BastunovVizela,45,0,
S. BermejoGil Vicente,419,0,
R. ZalazarSporting Braga,1399,0,
A. TrezzaFC Arouca,2266,0,
F. CáseresGil Vicente,1410,0,
L. SoaresSanta Clara,1575,0,
P. GozálbezFC Arouca,662,0,
G. CatamoSporting,1896,0,
B. MukendiVitória SC,938,0,
O. MamageishviliFamalicão,48,0,
G. MendoncaAVS - Futebol SAD,415,0,
L. LeloSporting Braga,2761,0,
V. SousaMoreirense,428,0,
P. SantosFC Arouca,1436,0,
T. GallettoAVS - Futebol SAD,88,0,
SerginhoSanta Clara,1272,0,
T. ArcanjoVitória SC,1297,0,
A. VarelaFC Porto,2122,0,
KBK. BondosoMoreirense,1935,0,
S. GarcíaGil Vicente,1414,0,
M. SilvaBenfica,767,0,
S. LobatoPortimonense,99,0,
L. EstevesGil Vicente,2638,0,
T. FukuiFC Arouca,2014,0,
J. GorbySporting Braga,1218,0,
G. MartínezSporting Braga,1455,0,
ZCZ. CarlosVitória SC,820,0,
DED. Ege TıknazSporting Braga,1982,0,
A. OliveiraFC Porto,0,0,
J. RêgoBenfica,35,0,
G. KlismahnSanta Clara,733,0,
M. CruzMarítimo,18,0,
D. RodriguesSporting Braga,161,0,
G. PrestianniBenfica,287,0,
G. QuendaSporting,2186,0,
J. SimõesSporting,400,0,
R. MoraFC Porto,1361,0,
DSD. SousaVitória SC,0,0,
G. SilvaVitória SC,856,0,
RRR. RibeiroFamalicão,0,0,
A. RodriguesTondela,14,0,
M. De AmorimFamalicão,982,0,
M. RibeiroBoavista,361,0,
LGL. GomesEstoril Praia,0,0,
G. SáFamalicão,2383,0,
GBG. BelezaGil Vicente,0,0,
AAA. AssisMoreirense,13,0,
D. CostaGil Vicente,74,0,
RRR. RodriguesGil Vicente,9,0,
