Name,Mins,Saves,Unnamed: 3
J. EvansManchester United,314,0,
N. ClyneCrystal Palace,504,0,
K. WalkerBurnley,973,0,
C. DawsonWolverhampton,987,0,
K. TrippierNewcastle United,1328,0,
S. ColemanEverton,224,0,
B. DaviesTottenham Hotspur,1330,0,
L. DigneAston Villa,2358,0,
D. BurnNewcastle United,3330,0,
F. SchärNewcastle United,2937,0,
M. KeaneEverton,1046,0,
L. DunkBrighton & Hove Albion,2083,0,
J. VestergaardLeicester City,1395,0,
J. StephensSouthampton,1394,0,
M. DohertyWolverhampton,2121,0,
V. LindelöfAston Villa,725,0,
J. TarkowskiEverton,2924,0,
J. SchluppNorwich City,118,0,
H. MaguireManchester United,1764,0,
N. AkéManchester City,688,0,
E. KrafthNewcastle United,349,0,
V. van DijkLiverpool,3330,0,
J. StonesManchester City,545,0,
J. LascellesLeicester City,0,0,
L. ShawManchester United,348,0,
A. WebsterBrighton & Hove Albion,888,0,
J. VeltmanBrighton & Hove Albion,1699,0,
R. PereiraLeicester City,392,0,
A. RobertsonLiverpool,2492,0,
T. MingsAston Villa,1121,0,
J. GomezLiverpool,526,0,
R. DiasManchester City,2273,0,
R. ManningSouthampton,1498,0,
T. AdarabioyoChelsea,1439,0,
J. BreeSouthampton,1078,0,
K. AjerBrentford,1460,0,
R. HenryBrentford,100,0,
M. HolgateEverton,16,0,
M. CucurellaChelsea,2990,0,
K. DansoTottenham Hotspur,843,0,
M. de LigtManchester United,2128,0,
A. TuanzebeBurnley,1717,0,
K. Walker-PetersWest Ham United,2922,0,
T. MalaciaManchester United,99,0,
F. KadıoğluBrighton & Hove Albion,388,0,
M. RoerslevSouthampton,1107,0,
T. ChalobahChelsea,1981,0,
I. KonatéLiverpool,2565,0,
A. DisasiWest Ham United,853,0,
E. KonsaAston Villa,2937,0,
J. JustinLeeds United,2928,0,
K. MavropanosWest Ham United,2057,0,
C. RomeroTottenham Hotspur,1420,0,
M. CashAston Villa,2077,0,
I. JúlioBrighton & Hove Albion,967,0,
B. WhiteArsenal,1213,0,
S. BuenoWolverhampton,1716,0,
N. MazraouiManchester United,2848,0,
E. PinnockBrentford,1913,0,
L. MartínezManchester United,1754,0,
A. Wan-BissakaWest Ham United,3154,0,
P. TorresAston Villa,2020,0,
L. KellyNewcastle United,335,0,
G. MagalhãesArsenal,2365,0,
V. MykolenkoEverton,3084,0,
M. GuéhiManchester City,3060,0,
M. LacroixCrystal Palace,3118,0,
R. JamesChelsea,1072,0,
M. KilmanWest Ham United,3349,0,
B. BadiashileChelsea,333,0,
S. BotmanNewcastle United,418,0,
P. PorroTottenham Hotspur,2622,0,
W. FofanaChelsea,1176,0,
S. van den BergBrentford,2588,0,
C. RichardsCrystal Palace,1925,0,
W. SalibaArsenal,3041,0,
N. WoodSouthampton,778,0,
M. NunesManchester City,1682,0,
J. TodiboWest Ham United,1855,0,
D. SpenceTottenham Hotspur,1805,0,
R. CalafioriArsenal,984,0,
N. CollinsBrentford,3420,0,
J. TimberArsenal,2422,0,
J. Paul van HeckeBrighton & Hove Albion,2960,0,
J. GvardiolManchester City,3279,0,
A. HickeyBrentford,0,0,
C. OkoliLeicester City,1128,0,
K. Lewis-PotterBrentford,3101,0,
T. GomesWolverhampton,2615,0,
A. Bella-KotchapSouthampton,329,0,
I. MaatsenAston Villa,1164,0,
J. BranthwaiteEverton,2525,0,
V. LivramentoNewcastle United,2842,0,
T. Harwood-BellisSouthampton,2828,0,
D. UdogieTottenham Hotspur,1938,0,
L. ThomasLeicester City,1112,0,
L. ColwillChelsea,3149,0,
M. GustoChelsea,1876,0,
R. DrăguşinTottenham Hotspur,1251,0,
M. van de VenTottenham Hotspur,1018,0,
J. O'BrienEverton,1574,0,
E. CashinBrighton & Hove Albion,19,0,
C. BradleyLiverpool,756,0,
WelingtonSouthampton,486,0,
R. EdwardsSouthampton,12,0,
Y. MosqueraWolverhampton,442,0,
J. Wilson-EsbrandManchester City,0,0,
N. PattersonEverton,345,0,
C. RiadCrystal Palace,90,0,
L. BogardeAston Villa,481,0,
V. KristiansenLeicester City,2489,0,
M. KerkezLiverpool,3342,0,
L. HallNewcastle United,2192,0,
R. LewisManchester City,1897,0,
TFT. FredricsonManchester United,166,0,
J. HinshelwoodBrighton & Hove Albion,1854,0,
R. McConvilleNorwich City,0,0,
A. GrayTottenham Hotspur,1764,0,
N. O'ReillyManchester City,532,0,
L. YoroManchester United,1169,0,
A. KhusanovManchester City,504,0,
B. NelsonLeicester City,0,0,
J. AcheampongChelsea,181,0,
M. Lewis-SkellyArsenal,1377,0,
A. HeavenManchester United,171,0,
A. GarcíaAston Villa,325,0,
C. KporhaCrystal Palace,19,0,
OAO. AlukoLeicester City,1,0,
P. LimaWolverhampton,70,0,
