Name,Mins,Saves,Unnamed: 3
D. WelbeckBrighton & Hove Albion,2122,0,
J. AyewLeicester City,1701,0,
C. WilsonWest Ham United,368,0,
L. TrossardArsenal,2558,0,
A. TraoréWest Ham United,1794,0,
A. ArmstrongSouthampton,1252,0,
D. SolankeTottenham Hotspur,2206,0,
J. MurphyNewcastle United,2379,0,
D. Calvert-LewinLeeds United,1629,0,
O. WatkinsAston Villa,2610,0,
D. JotaLiverpool,1206,0,
H. HwangWolverhampton,661,0,
G. JesusArsenal,627,0,
Y. WissaNewcastle United,2927,0,
A. IsakLiverpool,2769,0,
R. NelsonBrentford,488,0,
K. HavertzArsenal,1874,0,
E. HaalandManchester City,2741,0,
RicharlisonTottenham Hotspur,514,0,
I. SarrCrystal Palace,2719,0,
F. ChiesaLiverpool,116,0,
J. MatetaCrystal Palace,2654,0,
H. BarnesNewcastle United,1766,0,
E. NketiahCrystal Palace,1045,0,
E. EzeArsenal,2600,0,
P. DakaLeicester City,736,0,
O. MarmoushManchester City,1190,0,
J. Strand LarsenWolverhampton,2599,0,
R. StewartSouthampton,406,0,
M. CunhaManchester United,2600,0,
A. GordonNewcastle United,2444,0,
J. ZirkzeeManchester United,1406,0,
G. MartinelliArsenal,2300,0,
B. SakaArsenal,1735,0,
A. DialloManchester United,1908,0,
J. PedroChelsea,1953,0,
BetoEverton,1541,0,
F. CarvalhoBrentford,456,0,
C. ArcherSouthampton,1452,0,
A. BrojaBurnley,336,0,
L. DelapChelsea,2612,0,
E. FergusonBrighton & Hove Albion,418,0,
I. ThiagoBrentford,174,0,
B. JohnsonCrystal Palace,2186,0,
D. OuattaraBrentford,2012,0,
W. OsulaNewcastle United,168,0,
A. GarnachoChelsea,2195,0,
W. OdobertTottenham Hotspur,849,0,
JRJ. RobinsonSouthampton,143,0,
COC. Obi-MartinManchester United,169,0,
JMJ. MongaLeicester City,118,0,
M. ManéWolverhampton,1,0,
