Name,Mins,Saves,Unnamed: 3
J. MilnerBrighton & Hove Albion,173,0,
A. LallanaSouthampton,377,0,
R. BarkleyAston Villa,615,0,
I. GueyeEverton,3072,0,
CasemiroManchester United,1513,0,
C. NørgaardArsenal,2829,0,
M. KovačićManchester City,2207,0,
R. FraserSouthampton,312,0,
W. EndoLiverpool,300,0,
B. Decordova-ReidLeicester City,788,0,
M. SalahLiverpool,3377,0,
J. Ward-ProwseBurnley,1454,0,
J. GrealishEverton,735,0,
W. HughesCrystal Palace,2118,0,
J. McGinnAston Villa,2247,0,
B. FernandesManchester United,3024,0,
S. MarchBrighton & Hove Albion,168,0,
B. SilvaManchester City,2671,0,
Y. TielemansAston Villa,3032,0,
J. LermaCrystal Palace,2289,0,
J. MaddisonTottenham Hotspur,1826,0,
H. WinksLeicester City,1540,0,
M. ØdegaardArsenal,2328,0,
J. BowenWest Ham United,2979,0,
JoelintonNewcastle United,2404,0,
M. MerinoArsenal,1597,0,
S. MavididiLeicester City,1620,0,
E. BuendíaAston Villa,124,0,
K. PhillipsManchester City,1239,0,
R. BentancurTottenham Hotspur,1661,0,
D. KamadaCrystal Palace,1594,0,
T. SoučekWest Ham United,2570,0,
M. JensenBrentford,857,0,
V. JaneltBrentford,2287,0,
J. AriboLeicester City,2033,0,
B. KamaraAston Villa,1733,0,
RodriManchester City,80,0,
H. ChoudhuryLeicester City,130,0,
M. MountManchester United,625,0,
D. DalotManchester United,2813,0,
Y. BissoumaTottenham Hotspur,1430,0,
J. BellegardeWolverhampton,1706,0,
M. UgarteManchester United,1796,0,
J. SanchoManchester United,1773,0,
D. RiceArsenal,2833,0,
P. FodenManchester City,1785,0,
O. SkippLeicester City,1143,0,
K. Dewsbury-HallEverton,292,0,
C. GakpoLiverpool,1946,0,
S. LongstaffLeeds United,837,0,
B. GuimarãesNewcastle United,3282,0,
D. SzoboszlaiLiverpool,2496,0,
D. MuñozCrystal Palace,3233,0,
P. NetoChelsea,2281,0,
F. DownesSouthampton,2161,0,
F. OnyekaBrentford,28,0,
J. WillockNewcastle United,1097,0,
S. TonaliNewcastle United,2631,0,
A. Mac AllisterLiverpool,2607,0,
R. GravenberchLiverpool,3168,0,
M. KudusTottenham Hotspur,2601,0,
C. DoucouréCrystal Palace,462,0,
M. DamsgaardBrentford,2926,0,
E. MaghomaNorwich City,121,0,
I. NdiayeEverton,2440,0,
C. SummervilleWest Ham United,791,0,
A. OnanaAston Villa,1631,0,
B. MbeumoManchester United,3415,0,
C. JonesLiverpool,1735,0,
J. GarnerEverton,1599,0,
D. KulusevskiTottenham Hotspur,2391,0,
R. Aït NouriManchester City,3128,0,
A. SemenyoManchester City,3209,0,
J. DokuManchester City,1533,0,
D. McNeilEverton,1376,0,
K. MitomaBrighton & Hove Albion,2608,0,
G. RutterBrighton & Hove Albion,1673,0,
M. RogersAston Villa,3129,0,
N. GonzálezManchester City,763,0,
H. ElliottAston Villa,399,0,
M. MudrykChelsea,158,0,
M. WiefferBrighton & Hove Albion,1045,0,
N. MaduekeArsenal,2060,0,
E. FernándezChelsea,2946,0,
J. RamseyNewcastle United,1628,0,
A. ElangaNewcastle United,2507,0,
C. PalmerChelsea,3195,0,
M. CaicedoChelsea,3356,0,
T. MitchellCrystal Palace,3102,0,
P. Matar SarrTottenham Hotspur,1913,0,
R. GomesWolverhampton,823,0,
K. SchadeBrentford,2309,0,
J. GomesWolverhampton,2987,0,
Y. YarmolyukBrentford,1462,0,
AndréWolverhampton,2495,0,
Y. AyariBrighton & Hove Albion,1990,0,
SavinhoManchester City,1770,0,
L. UgochukwuBurnley,1664,0,
S. EdozieSouthampton,64,0,
D. GómezBrighton & Hove Albion,512,0,
R. LaviaChelsea,801,0,
J. DevennyCrystal Palace,519,0,
T. CollyerManchester United,175,0,
T. IroegbunamEverton,582,0,
A. Fatawu IssahakuLeicester City,577,0,
A. WhartonCrystal Palace,1336,0,
F. BuonanotteBrighton & Hove Albion,1529,0,
V. BarcoBrighton & Hove Albion,0,0,
K. MainooManchester United,1656,0,
M. FernandesWest Ham United,2919,0,
T. DiblingEverton,1883,0,
K. RodneyCrystal Palace,0,0,
C. BalebaBrighton & Hove Albion,2670,0,
L. BergvallTottenham Hotspur,1219,0,
P. DorguManchester United,842,0,
Y. MintehBrighton & Hove Albion,1854,0,
L. MileyNewcastle United,324,0,
M. GoldingLeicester City,1,0,
T. GeorgeEverton,184,0,
C. OlusesiTottenham Hotspur,0,0,
S. Amo-AmeyawSouthampton,26,0,
T. NyoniLiverpool,0,0,
C. EcheverriManchester City,11,0,
H. ArmstrongEverton,47,0,
HHH. HowellBrighton & Hove Albion,14,0,
