Name,Mins,Saves,Unnamed: 3
C. RobertsonDundee FC,1567,0,
J. TavernierRangers,2518,0,
M. FraserSt. Mirren,3140,0,
J. ObitaHibernian,1897,0,
S. KingsleyHeart of Midlothian,590,0,
K. HoltDundee United,1908,0,
S. O'DonnellMotherwell,1990,0,
SFS. FindlayHeart of Midlothian,966,0,
P. McGinnMotherwell,625,0,
D. GallagherRoss County,2711,0,
D. WrightDundee FC,2621,0,
J. SouttarRangers,1849,0,
J. McGheeMotherwell,1758,0,
L. GordonMotherwell,2317,0,
F. KentHeart of Midlothian,1295,0,
B. MikulićSt. Johnstone,1166,0,
J. McCartHeart of Midlothian,811,0,
C. HalkettHeart of Midlothian,999,0,
N. DevlinAberdeen,2239,0,
A. WrightRoss County,3150,0,
D. SterlingRangers,1149,0,
M. KnoesterAberdeen,867,0,
C. Carter-VickersCeltic,2438,0,
A. TrustyCeltic,1827,0,
A. IacovittiRoss County,793,0,
A. RalstonCeltic,625,0,
J. KoutroumbisMotherwell,283,0,
H. MilneHeart of Midlothian,239,0,
L. ScalesCeltic,1734,0,
K. TobersAberdeen,709,0,
A. GogićSt. Mirren,2825,0,
S. WelshCeltic,90,0,
R. Bushiri KirangaHibernian,2114,0,
J. IredaleHibernian,2002,0,
M. SteinwenderHeart of Midlothian,712,0,
W. O'HoraHibernian,2303,0,
A. JohnstonCeltic,2540,0,
R. AstleyDundee FC,1941,0,
G. MolloyAberdeen,1698,0,
R. GrahamDundee United,1174,0,
B. KoumetioDundee FC,1225,0,
I. SamuelsDundee FC,90,0,
T. SparrowMotherwell,1636,0,
A. JensenAberdeen,1098,0,
A. MontgomeryCeltic,0,0,
DMD. MurrayCeltic,0,0,
A. DonnellyDundee FC,876,0,
J. MilneAberdeen,174,0,
R. FraserRangers,16,0,
KMK. MegwaHibernian,0,0,
Z. MitchellHibernian,543,0,
LGL. GrahamDundee FC,270,0,
CHC. HamillSt. Johnstone,8,0,
