Name,Mins,Saves,Unnamed: 3
J. WhiteRoss County,1974,0,
M. BoyleHibernian,2348,0,
D. GayleHibernian,862,0,
B. McKayLivingston,249,0,
L. ShanklandHeart of Midlothian,2411,0,
C. McMenaminSt. Mirren,498,0,
M. MandronSt. Mirren,1538,0,
U. IkpeazuRoss County,31,0,
S. MurrayDundee FC,2848,0,
D. VenteHibernian,88,0,
D. MaedaCeltic,2288,0,
J. AyungaSt. Mirren,1052,0,
T. OlusanyaAberdeen,2046,0,
E. KabanguHeart of Midlothian,905,0,
J. ScottRoss County,440,0,
JotaCeltic,536,0,
R. MatondoRangers,240,0,
B. MiovskiRangers,91,0,
K. PhillipsRoss County,652,0,
Z. RobinsonMotherwell,581,0,
M. UbochiomaDundee United,25,0,
T. MaswanhiseMotherwell,1486,0,
Y. Hyun-JunCeltic,951,0,
MTM. ThomsonRoss County,505,0,
Z. LovelaceRangers,15,0,
LRL. RossMotherwell,0,0,
