Name,Mins,Saves,Unnamed: 3
A. HallidayMotherwell,2393,0,
G. ShinnieAberdeen,2580,0,
J. ForrestCeltic,804,0,
C. McGregorCeltic,2661,0,
J. HoltSt. Johnstone,1926,0,
J. NewellHibernian,1293,0,
C. SibbaldDundee United,890,0,
D. JohnSt. Mirren,1054,0,
LDL. DonnellySt. Mirren,1197,0,
M. O'HaraSt. Mirren,2444,0,
S. NicholsonMotherwell,252,0,
S. TanserSt. Mirren,1686,0,
N. CaddenHibernian,1657,0,
C. CaddenHibernian,2086,0,
S. WrightDundee FC,133,0,
C. RandallRoss County,2988,0,
J. McGrathHibernian,1662,0,
N. BajramiRangers,1331,0,
J. SvedbergSt. Johnstone,328,0,
R. DochertyRoss County,1143,0,
A. ForrestHeart of Midlothian,940,0,
R. StrainDundee United,2063,0,
A. MannehHibernian,86,0,
W. FerryDundee United,2876,0,
N. RaskinRangers,2368,0,
R. HatateCeltic,2161,0,
E. BwomonoAberdeen,1531,0,
A. PalaversaAberdeen,1640,0,
B. BaningimeHeart of Midlothian,1928,0,
C. SlatteryMotherwell,785,0,
Y. DhandaDundee FC,797,0,
T. Elie YouanHibernian,907,0,
L. McCowanCeltic,1554,0,
K. TrapanovskiDundee United,1204,0,
M. SyllaLivingston,2577,0,
C. DevlinHeart of Midlothian,1865,0,
N. ChilversRoss County,1997,0,
V. ŠeveljDundee United,2631,0,
J. CampbellHibernian,1740,0,
O. Thiago HolmCeltic,24,0,
R. IdowuSt. Mirren,1120,0,
P. BernardoCeltic,1201,0,
F. RobertsonDundee FC,1527,0,
L. CameronRangers,2490,0,
J. MulliganHibernian,2393,0,
J. McPakeSt. Johnstone,297,0,
C. ReillyDundee FC,56,0,
JRJ. ReidRoss County,239,0,
C. NieuwenhofHeart of Midlothian,314,0,
C. BarronRangers,1761,0,
A. EngelsCeltic,1924,0,
M. DiomandeRangers,2393,0,
T. KeskinenAberdeen,2225,0,
B. SpittalHeart of Midlothian,2245,0,
K. FotheringhamSt. Johnstone,671,0,
RDR. DuncanRoss County,0,0,
FPF. PollockHeart of Midlothian,0,0,
A. DenholmLivingston,689,0,
M. TaitHeart of Midlothian,0,0,
R. Allan MolotnikovHibernian,477,0,
JWJ. WilliamsonRoss County,0,0,
K. AndrewsHibernian,470,0,
F. FranczakSt. Johnstone,368,0,
CDC. DonovanCeltic,0,0,
B. RiceRangers,107,0,
V. EnemAberdeen,0,0,
