Name,Mins,Saves,Unnamed: 3
M. BalotelliGenoa,67,0.0,
PedroLazio,1060,0.0,
D. ZapataTorino,589,,
S. El ShaarawyRoma,1110,0.0,
R. LukakuNapoli,2870,0.0,
Á. MorataMilan,1105,0.0,
L. PavolettiCagliari,377,0.0,
G. LapadulaSpezia,306,0.0,
M. PolitanoNapoli,2828,0.0,
P. DybalaRoma,1420,0.0,
M. CornetGenoa,242,0.0,
C. EkubanGenoa,543,0.0,
G. SimeoneTorino,440,0.0,
T. AbrahamRoma,1183,0.0,
C. AdamsTorino,2657,0.0,
M. ThuramInter,2298,0.0,
E. ShomurodovRoma,1108,0.0,
F. ComanCagliari,258,0.0,
A. DovbykRoma,2430,0.0,
A. GuðmundssonGenoa,1285,0.0,
G. ScamaccaAtalanta,13,0.0,
L. MartínezInter,2577,0.0,
A. PinamontiSassuolo,2860,0.0,
N. PieriniSampdoria,82,,
K. DavisUdinese,990,0.0,
D. VlahovićJuventus,1797,0.0,
M. KeanFiorentina,2710,0.0,
N. KrstovićAtalanta,3068,0.0,
P. PellegriEmpoli,413,,
D. NeresNapoli,1294,0.0,
S. ŻurkowskiSpezia,105,0.0,
N. ZanioloUdinese,700,0.0,
G. RaspadoriAtalanta,1119,0.0,
C. NgongeNapoli,238,0.0,
J. YeboahVenezia,1232,0.0,
S. GiménezMilan,676,0.0,
T. DallingaBologna,1068,0.0,
W. CheddiraNapoli,11,,
E. TavsanHellas Verona,0,,
L. ColomboGenoa,2249,0.0,
R. PiccoliFiorentina,3142,0.0,
B. DiaLazio,2137,0.0,
C. De KetelaereAtalanta,2080,0.0,
L. LuccaNapoli,2361,0.0,
S. EspositoCagliari,2341,0.0,
D. MaldiniLazio,1559,0.0,
N. CambiaghiBologna,587,0.0,
F. ConceiçãoJuventus,1342,0.0,
J. FazziniFiorentina,1393,0.0,
M. CancellieriLazio,1440,0.0,
D. MosqueraHellas Verona,1312,0.0,
S. MitrovićHellas Verona,0,,
T. NoslinLazio,874,0.0,
M. SouléRoma,1799,0.0,
A. BonnyInter,2485,0.0,
D. FilaEmpoli,500,0.0,
VVV. VlahovićSpezia,34,0.0,
VitinhaGenoa,1337,0.0,
S. CastroBologna,2294,0.0,
F. AccorneroGenoa,10,,
A. RaimondoBologna,116,0.0,
D. PizarroUdinese,24,0.0,
J. AjayiHellas Verona,11,0.0,
A. NjieTorino,385,0.0,
FCF. CamardaMilan,75,0.0,
J. EkhatorGenoa,787,0.0,
TCT. CampanielloEmpoli,28,0.0,
AAA. AsmussenEmpoli,0,0.0,
