Name,Mins,Saves,Unnamed: 3
M. DarmianInter,1793,0.0,
N. ViolaCagliari,1280,0.0,
H. MkhitaryanInter,2410,0.0,
M. BadeljGenoa,1486,0.0,
M. de RoonAtalanta,3058,0.0,
I. SulemanaBologna,282,0.0,
R. FreulerBologna,3119,0.0,
D. ZappacostaAtalanta,2075,0.0,
H. ÇalhanoğluInter,1961,0.0,
M. De SciglioJuventus,781,0.0,
P. ZielińskiInter,984,0.0,
A. TamezeTorino,659,0.0,
M. ValotiSpezia,48,0.0,
S. LobotkaNapoli,2647,0.0,
J. Akpa AkproHellas Verona,968,0.0,
B. CristanteRoma,2047,0.0,
M. PašalićAtalanta,1969,0.0,
R. MalinovskyiGenoa,383,0.0,
P. StojanovićEmpoli,9,,
J. KarlströmUdinese,3099,0.0,
A. DuncanVenezia,959,0.0,
V. LazaroTorino,2322,0.0,
M. ThorsbyGenoa,1902,0.0,
F. DimarcoInter,2165,0.0,
R. Loftus-CheekMilan,1031,0.0,
R. GagliardiniHellas Verona,176,0.0,
L. HendersonSampdoria,2345,0.0,
M. ZaccagniLazio,2634,0.0,
D. CataldiLazio,1724,0.0,
A. DeiolaCagliari,1434,0.0,
A. BarákSampdoria,55,,
H. KamaraUdinese,1916,0.0,
N. VlašićTorino,2128,0.0,
N. BarellaInter,2462,0.0,
M. LocatelliJuventus,2840,0.0,
P. MazzocchiNapoli,735,0.0,
R. MandragoraFiorentina,1941,0.0,
L. PellegriniRoma,1632,0.0,
J. JanktoCagliari,0,0.0,
S. LovrićHellas Verona,2323,0.0,
N. HaasEmpoli,291,,
K. EhizibueUdinese,2420,0.0,
D. DumfriesInter,1951,0.0,
F. AnguissaNapoli,2857,0.0,
G. KastanosHellas Verona,846,0.0,
R. OrsoliniBologna,1783,0.0,
T. BašićLazio,0,0.0,
O. AbildgaardSampdoria,7,0.0,
S. SerdarHellas Verona,1308,0.0,
T. KoopmeinersJuventus,1997,0.0,
N. MoroBologna,1218,0.0,
C. PulišićMilan,2489,0.0,
E. BohinenGenoa,165,0.0,
J. OdgaardBologna,1911,0.0,
R. BellanovaAtalanta,2495,0.0,
D. FrattesiInter,1222,0.0,
AngeliñoRoma,3179,0.0,
R. LeãoMilan,2330,0.0,
K. PérezVenezia,1121,0.0,
Y. AdliMilan,1248,0.0,
M. FolorunshoNapoli,685,0.0,
H. Nicolussi CavigliaVenezia,2870,0.0,
I. IlićTorino,921,0.0,
S. McTominayNapoli,2941,0.0,
N. LellaVenezia,8,,
W. McKennieJuventus,2320,0.0,
J. MessiasGenoa,851,0.0,
G. BusioVenezia,2531,0.0,
D. BradarićHellas Verona,1890,0.0,
N. FagioliJuventus,1541,0.0,
A. SaelemaekersMilan,1494,0.0,
G. GaetanoCagliari,991,0.0,
K. ThuramJuventus,2337,0.0,
J. EkkelenkampUdinese,1866,0.0,
L. FergusonBologna,973,0.0,
F. AnjorinTorino,1117,0.0,
B. GilmourNapoli,1178,0.0,
S. SohmBologna,2909,0.0,
A. HarrouiHellas Verona,462,,
M. FrendrupGenoa,3107,0.0,
A. ZanoliUdinese,1714,0.0,
N. ZorteaBologna,2637,0.0,
M. AdopoCagliari,2327,0.0,
T. PobegaBologna,1133,0.0,
M. BrescianiniFiorentina,1010,0.0,
A. Di PardoSampdoria,0,,
S. RicciMilan,2836,0.0,
M. EllertssonGenoa,2480,0.0,
B. Steinn BjarkasonVenezia,171,0.0,
N. RovellaJuventus,2657,0.0,
L. BelardinelliEmpoli,0,,
Y. FofanaMilan,2509,0.0,
ÉdersonAtalanta,2888,0.0,
T. SuslovHellas Verona,2069,0.0,
P. MasiniGenoa,1544,0.0,
M. KonéRoma,2582,0.0,
M. FeliciCagliari,923,0.0,
G. IsaksenLazio,2155,0.0,
J. OnanaGenoa,298,0.0,
L. SamardžićAtalanta,1149,0.0,
Y. MusahAtalanta,1581,0.0,
E. Le FéeRoma,319,0.0,
N. ZalewskiRoma,982,0.0,
K. AsllaniTorino,1007,0.0,
O. ZarragaUdinese,893,0.0,
F. MirettiJuventus,1694,0.0,
T. BaldanziRoma,848,0.0,
LBL. BernasconiAtalanta,0,0.0,
C. CasadeiTorino,1023,0.0,
G. GineitisTorino,1423,0.0,
A. FaderaSassuolo,1667,0.0,
G. FabbianFiorentina,985,0.0,
F. CarboniEmpoli,228,0.0,
M. PratiTorino,579,0.0,
C. NdourFiorentina,407,0.0,
S. PafundiSampdoria,113,0.0,
T. CorazzaBologna,0,,
I. DoumbiaVenezia,943,0.0,
E. İlkhanTorino,0,0.0,
K. YıldızJuventus,2408,0.0,
V. AdžićJuventus,50,0.0,
B. DomínguezBologna,1247,0.0,
N. PisilliRoma,1225,0.0,
R. SagradoVenezia,143,0.0,
R. BelahyaneLazio,1848,0.0,
A. HainautVenezia,1136,0.0,
H. CuencaGenoa,0,0.0,
M. PalestraCagliari,218,0.0,
C. PapadopoulosGenoa,0,,
N. FortiniFiorentina,0,,
SPS. PerciunTorino,148,0.0,
L. KasaGenoa,235,0.0,
LVL. VenturinoGenoa,163,0.0,
RSR. ScaglioneGenoa,0,0.0,
