Name,Mins,Saves,Unnamed: 3
A. CaraccioloPisa,3032,0,
A. SalviCittadella,2359,0,
P. RozzioReggiana,1217,0,
F. LucioniFrosinone,388,0,
F. CeccheriniCremonese,1548,0,
M. SampirisiReggiana,1558,0,
M. BianchettiCremonese,3112,0,
S. ScognamilloBenevento,2888,0,
CAC. AndreoniCrotone,663,0,
A. CalabresiPisa,1107,0,
F. VicariReggiana,1961,0,
A. RedolfiCittadella,1349,0,
N. PavanCittadella,2241,0,
L. LibuttiReggiana,2430,0,
G. RicciBenevento,1403,0,
R. MarchizzaFrosinone,2073,0,
L. RavanelliMonza,2363,0,
A. TripaldelliReggiana,158,0,
V. AntovMonza,2506,0,
D. QuarantaReggiana,447,0,
G. AltarePescara,1061,0,
A. CagnanoPescara,234,0,
S. CanestrelliPisa,3090,0,
A. CaporaleCosenza,2173,0,
S. KalajFrosinone,272,0,
L. LucchesiMonza,2259,0,
L. MorettiVirtus Entella,350,0,
A. CeresoliBenevento,434,0,
I. MonterisiFrosinone,3076,0,
RTR. TuricchiaVirtus Entella,35,0,
A. PapettiReggiana,1157,0,
A. RizzaCittadella,192,0,
M. AngeliCittadella,1344,0,
A. OyonoFrosinone,2437,0,
F. D'AlessioCittadella,1589,0,
B. CiminoCosenza,647,0,
G. BracagliaFrosinone,1606,0,
F. FolinoCremonese,2088,0,
A. CecchettoCittadella,161,0,
M. LusuardiReggiana,916,0,
