Name,Mins,Saves,Unnamed: 3
L. StrizzoloCosenza,608,0,
F. GaluppiniAscoli,1599,0,
F. BonazzoliCremonese,1355,0,
A. CapelloL.R. Vicenza,458,0,
S. MoreoPisa,2691,0,
A. NovakovichReggiana,1149,0,
C. GondoReggiana,1977,0,
M. RavasioCittadella,704,0,
D. DiawMonza,79,0,
M. TramoniPisa,1953,0,
L. SgarbiPescara,473,0,
EVE. VerganiFrosinone,45,0,
EPE. PiovanelloCrotone,55,0,
C. KouanBenevento,2457,0,
F. TsadjoutPescara,817,0,
G. CasoMonza,1767,0,
T. FumagalliReggiana,1280,0,
M. ZilliFrosinone,724,0,
S. RabbiCittadella,1734,0,
A. RaimondoFrosinone,484,0,
F. RussoVirtus Entella,665,0,
G. KvernadzeFrosinone,1663,0,
H. Wendel MeisterPisa,548,0,
M. MaggioCrotone,600,0,
F. GhedjemisFrosinone,1067,0,
A. CicheroFrosinone,124,0,
N. GirmaReggiana,1023,0,
A. DebenedettiVirtus Entella,802,0,
FGF. GrossoFrosinone,1,0,
ECE. CavaliereReggiana,0,0,
