Name,Mins,Saves,Unnamed: 3
L. CigariniReggiana,126,0,
P. ObiangMonza,1492,0,
M. MaitaBenevento,2702,0,
S. BrancaCittadella,1486,0,
A. VitaCittadella,2591,0,
L. GarritanoCosenza,759,0,
J. MauriCosenza,306,0,
M. CavionL.R. Vicenza,0,0,
P. AzziMonza,1533,0,
F. GelliFrosinone,1719,0,
M. MarinPisa,2646,0,
E. MasciangeloFrosinone,2671,0,
I. TouréPisa,2435,0,
F. CaligaraPescara,541,0,
G. CalòFrosinone,2622,0,
M. CollocoloCremonese,2644,0,
M. LérisPisa,169,0,
A. Rizzo PinnaAscoli,1435,0,
M. MeliCrotone,541,0,
L. BenedettiVirtus Entella,1142,0,
M. RoverReggiana,1408,0,
M. BertagnoliReggiana,1492,0,
N. CorradoFrosinone,1979,0,
L. BelardinelliReggiana,483,0,
T. ReinhartReggiana,2233,0,
R. CeliaBenevento,1531,0,
N. GalazziMonza,1469,0,
G. PiccininiPisa,2341,0,
K. BozhanajReggiana,914,0,
F. AmatucciCittadella,2812,0,
T. BarbieriCremonese,2109,0,
GCG. CorradiniAscoli,0,0,
T. MilaneseCremonese,436,0,
M. HøjholtPisa,1269,0,
Y. PazReggiana,440,0,
R. KoudaParma,838,0,
F. CasolariCittadella,1260,0,
C. KourfalidisCosenza,1093,0,
G. OlzerPescara,1205,0,
A. OliveriPescara,1754,0,
A. FioriFrosinone,1831,0,
A. FlorenziCosenza,2182,0,
R. Floriani MussoliniCremonese,2890,0,
J. OyonoFrosinone,1585,0,
S. AngoriPisa,2354,0,
I. VuralPisa,1196,0,
L. MendicinoReggiana,521,0,
M. CichellaFrosinone,1021,0,
ECE. ContieroCosenza,8,0,
